Advertiser URL,Advertiser Category,Program ID,Program Name,Contract Status,Tracking Link,Allows Deep Linking,Payout
https://debutify.com,Apps,12660,Debutify Corp.,Active,https://debutify.sjv.io/c/7401119/936411/12660,true,"Reviews Subscription: 25%
Theme Subscription: 25%
Reviews Renewal: 10%
Theme Renewal: 10%"
https://hyper3d.ai,"Templates, Fonts, Add-ons & more",52860,Deemos Corporation,Active,https://deemoscorporation.sjv.io/c/7401119/3895845/52860,true,"Top-up: 20%-50%
Online Sales: 20%-50%
Sign-up: $0.00"
https://pi.inc,Collectibles & Hobbies,47529,Presentation Intelligence,Active,https://deepvincilimited.sjv.io/c/7401119/3754415/47529,true," Subscribe: 20%
Sign-up: USD0.00"
http://www.delphinusworld.com/,Transportation,32685,Delphinus World,Active,https://delphinus.sjv.io/c/7401119/2832263/32685,true,Online Booking: 13%
http://www.designlab.com,Learning,20334,Designlab,Active,https://designlab.pxf.io/c/7401119/1744876/20334,true,"Recurring Enrollment: $100.00-$725.00,10%
Enrollment Complete: $100.00-$725.00,10%"
http://www.diamondsresorts.com/,Transportation,46240,Diamonds Resorts,Active,https://diamondresorts.sjv.io/c/7401119/3440438/46240,true,Online Booking: 5%
https://www.dhgate.com,Women's Apparel,12108,DHgate,Active,https://dhgate.sjv.io/c/7401119/868543/12108,true,"Purchase: 2%-50%
Android - DHgate App: 2%-50%
iOS - DHgate App: 2%-50%"
http://www.discoveryhotels-resorts.com,Transportation,50198,Discovery Hotels Resorts,Active,https://discoveryhotelsresorts.sjv.io/c/7401119/3833174/50198,true,Online Booking: 5%
https://www.dollarcars4rent.com/,Transportation,50970,Dollar Car Rental EU,Active,https://dollarcarrentaleu.sjv.io/c/7401119/3848748/50970,true,Online Booking: 5%
www.domain.com,Website Hosting,9560,Domain.com,Active,https://domain.mno8.net/c/7401119/577846/9560,true,Online Sale (JS): $5.00-$100.00
https://store.hiby.com,Consumer Electronics,50036,"Dongguan HiBy Music Technology Co., Ltd.",Active,https://dongguanhibymusictechnologycoltd.pxf.io/c/7401119/3826843/50036,true,Online Sale: 10%
http://shop.doreljuvenile.com/,Baby Essentials,23708,Maxi-Cosi,Active,https://doreljuvenile.pxf.io/c/7401119/1950530/23708,true,Online Sale: 5%
http://dymocks.com.au,Collectibles & Hobbies,16665,Dymocks Books & Gifts ,Active,https://dymocks-australia.pxf.io/c/7401119/1398797/16665,true,Online Sale: 0%
http://easeus.com,Apps,44229,EaseUS - Creator,Active,https://easeus.pxf.io/c/7401119/3360467/44229,true,Online Sale: 10%
https://www.easyship.com/,B2B,10435,Easyship Ambassador Program,Active,https://easyship.ilbqy6.net/c/7401119/666308/10435,true,"Freemium Subscription: 100%
Shipping Transaction: 2.5%
Company Created: $0.00"
https://ebrands.com/,Games/Toys,18069,Puzzle Ready affiliate program,Active,https://puzzlereadyaffiliateprogram.pxf.io/c/7401119/1549130/18069,true,Online Sale: 10%
https://ebrands.com/,Kitchen & Dining,18086,Happy Sinks Affiliate Program,Active,https://happy-sinks-eu.sjv.io/c/7401119/1549971/18086,true,Online Sale: 10%
https://ebrands.com/,,18088,INDO Trick Scooter affiliate program,Active,https://indo-tricks-scooter.sjv.io/c/7401119/1549977/18088,true,Online Sale: 10%
https://ebrands.com/,,18089,Coach Soak affiliate program,Active,https://coach-soak.sjv.io/c/7401119/1549982/18089,true,Online Sale: 20%
https://ebrands.com/,,18090,Bodyotics affiliate program,Active,https://bodyotics.sjv.io/c/7401119/1549984/18090,true,Online Sale: 10%
https://ebrands.com/,Sports & Exercise Equipment,18091,Fofana affiliate program,Active,https://fofana.sjv.io/c/7401119/1549986/18091,true,Online Sale: 10%
https://ebrands.com/,,18358,Penchant for Pleasure,Active,https://penchant-for-pleasure.sjv.io/c/7401119/1582170/18358,true,Online Sale: 10%
